time,symbol,direction,entry,tp,sl,rsi,vol_change,ai_prob,ai_horizon,strategy
2026-02-21 08:01:16,SKL/USDT,LONG,0.007053,0.0070817142857142,0.0070386428571428,99.16666666666728,21.00232807796746,0.4971186976450135,8.485652758021173,
2026-02-21 08:02:47,ESP/USDT,LONG,0.07905,0.0801278571428571,0.0785110714285714,67.65676567656757,2.456455546289743,0.4971186976450135,8.485652758021173,
2026-02-21 08:02:54,ZAMA/USDT,LONG,0.02495,0.0255328571428571,0.0246585714285714,61.3138686131388,4.660294725173659,0.4971186976450135,8.485652758021173,
2026-02-21 08:03:58,EUL/USDT,SHORT,1.0755,1.0563857142857145,1.0850571428571427,33.18584070796446,3.5264550701428696,0.4971186976450135,8.485652758021173,
2026-02-21 08:04:01,MAGMA/USDT,SHORT,0.10617,0.1039114285714285,0.1072992857142857,11.696869851729844,32.5348972332181,0.4971186976450135,8.485652758021173,
2026-02-21 08:04:23,CTSI/USDT,LONG,0.03015,0.0312085714285714,0.0296207142857142,43.08681672025723,3.1511326154679407,0.4971186976450135,8.485652758021173,
2026-02-21 08:06:01,LIGHT/USDT,LONG,0.2467,0.2480285714285714,0.2460357142857142,75.0,12.138126446613668,0.4971186976450135,8.485652758021173,
2026-02-21 08:08:46,SKL/USDT,LONG,0.007122,0.0072049285714285,0.0070805357142857,82.69230769230772,7.530044204709499,0.4971186976450135,8.485652758021173,
2026-02-21 08:10:20,ROAM/USDT,SHORT,0.020371,0.0202829285714285,0.0204150357142857,16.9696969696964,8.026688968743395,0.4971186976450135,8.485652758021173,
2026-02-21 08:10:43,POWER/USDT,LONG,0.44074,0.4483814285714286,0.4369192857142857,69.76309226932679,4.042235945548512,0.4971186976450135,8.485652758021173,
2026-02-21 08:10:58,SKL/USDT,LONG,0.007211,0.0073434285714285,0.0071447857142857,86.0724233983286,10.654552611734792,0.4971186976450135,8.485652758021173,
2026-02-21 08:13:23,AZTEC/USDT,LONG,0.037742,0.0384337142857142,0.0373961428571428,86.14457831325336,4.40005248113298,0.4971186976450135,8.485652758021173,
2026-02-21 08:14:48,ROSE/USDT,SHORT,0.013472,0.0133453571428571,0.0135353214285714,15.024630541871929,14.670681201357931,0.4971186976450135,8.485652758021173,
2026-02-21 08:15:14,ROAM/USDT,SHORT,0.020238,0.0200584285714285,0.0203277857142857,16.375545851528216,72.26322086148438,0.4971186976450135,8.485652758021173,
2026-02-21 08:16:32,ESP/USDT,LONG,0.07999,0.0811985714285714,0.0793857142857143,65.17241379310354,5.558685138762561,0.4971186976450135,8.485652758021173,
2026-02-21 08:16:50,XCH/USDT,SHORT,2.571,2.555357142857143,2.5788214285714286,16.17647058823546,2.9572478790168764,0.4971186976450135,8.485652758021173,
2026-02-21 08:17:58,RECALL/USDT,SHORT,0.05744,0.0568657142857142,0.0577271428571428,51.01010101010096,2.229863753770925,0.4971186976450135,8.485652758021173,
2026-02-21 08:18:33,Q/USDT,SHORT,0.02211,0.0219342857142857,0.0221978571428571,21.49390243902461,5.1488246097337,0.4971186976450135,8.485652758021173,
2026-02-21 08:19:50,AZTEC/USDT,LONG,0.038587,0.0395836428571428,0.0380886785714285,85.76585869004651,13.06441851129794,0.4971186976450135,8.485652758021173,
2026-02-21 08:21:29,SPORTFUN/USDT,LONG,0.03868,0.0391171428571428,0.0384614285714285,78.08219178082192,6.942530681337283,0.4971186976450135,8.485652758021173,
2026-02-21 08:22:49,SKL/USDT,LONG,0.007226,0.0075384285714285,0.0070697857142857,56.49935649935647,4.152153005779264,0.4971186976450135,8.485652758021173,
2026-02-21 08:31:55,SIREN/USDT,SHORT,0.22051,0.2187721428571429,0.2213789285714285,42.21014492753615,8.209484859213596,0.4971186976450135,8.485652758021173,
2026-02-21 08:35:34,BMT/USDT,SHORT,0.016721,0.0166841428571428,0.0167394285714285,0.0,182.52887209929844,0.4971186976450135,8.485652758021173,
